Номер id;Категория;Логика и выбор;Тип объекта;Операция;Страна
1.     id;Тип помещения;Select + Input (Пентхаус, Апартаменты, Гостинка, Комната, Таунхаус, Другое → появляется Input);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
2.     id;Комнат;Select + Input (1, 2, 3, 4, 5, Другое → появляется Input);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
3.     id;Спален;Select + Input (1, 2, 3, 4, Другое → появляется Input);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
4.     id;Санузлов;Select + Input (1, 2, 3, 4, Другое → появляется Input);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
5.     id;Высота потолков;Input (ввод вручную, автоматически добавляется «м»);Квартира, Частный дом, Коммерческое помещение, Здание, Некапитальный объект, Доля в праве;Продажа, Обмен;Россия
6.     id;Планировка;Select + Input (Студия, Раздельные комнаты, Свободная планировка, Другое → появляется Input);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
7.     id;Ремонт;Select (Без отделки, В состоянии ремонта, Бюджетный, Базовая отделка, Современный, Дизайнерский);Квартира, Частный дом, Коммерческое помещение, Здание, Доля в праве;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
8.     id;Дата завершения ремонта;Input (ДД.ММ.ГГГГ);Квартира, Частный дом, Коммерческое помещение, Здание, Доля в праве;Продажа, Обмен;Россия
9.     id;Сторона окон;MultiSelect «Сторона окон» (Север, Северо-восток, Восток, Юго-восток, Юг, Юго-запад, Запад, Северо-запад).;Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
10.  id;Вид из окон;MultiSelect (На море, На горы, На город, На озеро или реку, Во двор);Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
11.  id;Лифт;Select (Грузовой, Пассажирский, Нет);Квартира, Коммерческое помещение, Здание, Доля в праве;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
12.  id;Фасад;Select + Input (Вентилируемый, Штукатурный, Кирпичный, Сайдинговый, Деревянный, Фиброцементный, Другое → появляется Input);Квартира, Частный дом, Коммерческое помещение, Здание, Некапитальный объект, Доля в праве;Продажа, Обмен;Россия
13.  id;Готовность объекта;Select (Строящийся, Построен);Квартира, Частный дом, Коммерческое помещение, Здание, Доля в праве;Продажа, Обмен;Россия
14.  id;Тип дома;Select + Input (Панельный, Кирпичный, Монолитный, Блочный, Деревянный, Комбинированный, Другое → появляется Input);Квартира, Частный дом, Здание, Доля в праве;Продажа, Обмен;Россия
15.  id;Тип фундамента;Select + Input (Ленточный, Свайный, Монолитный, Плитный, Нет,  Другое → появляется Input);Частный дом;Продажа, Обмен;Россия
16.  id;Год постройки здания;Input (YYYY);Квартира, Частный дом, Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект, Доля в праве;Продажа, Аренда, Обмен;Россия
17.  id;Этажность здания;Input (только цифра);Квартира, Частный дом, Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект, Доля в праве;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
18.  id;Количество квартир в доме;Input (только цифра);Квартира;Продажа, Обмен;Россия
19.  id;Этаж квартиры / помещения;Input (только цифра);Квартира, Коммерческое помещение;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
20.  id;Подвал;Select (Есть, Нет);Частный дом;Продажа, Обмен;Россия
21.  id;Мансарда;Select (Есть, Нет);Квартира, Частный дом;Продажа, Обмен;Россия
22.  id;Дополнительные постройки;MultiSelect + Input  (Гостевой дом, Гараж, Барбекю-зона, Баня, Беседка , Склад, Теплица, Сарай, Другое → появляется Input);Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
23.  id;Электропитание;MultiSelect (220, 380);Все;Продажа, Обмен;Россия
24.  id;Пиковая мощность;Input (кВт);Все;Продажа, Обмен;Россия
25.  id;Тип отопления;MultiSelect + Input (Электрическое, Твердотопливное, Газовое,  Нет, Другое → появляется Input);Квартира, Частный дом, Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект, Доля в праве;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
26.  id;Отопительные приборы;MultiSelect + Input (Центральные, Электрические, Водяные, Другое → появляется Input);Квартира, Частный дом, Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект, Доля в праве;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
27.  id;Холодная вода;Select (Централизованная, Скважина, Колонка, Нет);Все;Продажа, Обмен;Россия
28.  id;Горячая вода;MultiSelect (Централизованная, Бойлер, Проточный, Нет);Все;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
29.  id;Тип канализации;Select (Централизованная, Септик, Выгребная яма, Без канализации);Все;Продажа, Обмен;Россия
30.  id;Кондиционер;Select (1,2,3,4,5, Нет);Квартира, Частный дом, Коммерческое помещение;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
31.  id;Температурный режим помещения;Select (Отапливаемый, Неотапливаемый);Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
32.  id;Курение;Select (Разрешено, Запрещено, Отдельная зона);Квартира, Коммерческое помещение;Аренда;Россия, Таиланд, Китай, Южная Корея
33.  id;Мебель;MultiSelect + Input (Кровать, Диван, Стол, Стулья, Шкаф, Комод, Тумбочка, Кресло, Кухонный стол, Кухонные стулья, Письменный стол, Зеркало, Кофейный столик, Обеденный стол, Шкаф-купе, Кухонный гарнитур, Тумба под телевизор, Стеллаж, Обувница, Комод с ящиками, Шкаф для одежды, Туалетный столик, Ванна, Раковина, Шкафчик, Унитаз, Биде, Душевая кабина, Полотенцесушитель, Хозяйственная тумба, Другое → появляется Input).;Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
34.  id;Бытовая техника;MultiSelect + Input (Холодильник, Плита, Духовка, Микроволновка, Посудомоечная машина, Стиральная машина, Сушильная машина, Пылесос, Телевизор, Утюг, Фен, Тостер, Кофемашина, Чайник, Обогреватель, Кондиционер, Вентилятор, Увлажнитель воздуха, Очиститель воздуха, Другое → появляется Input).;Квартира, Частный дом;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
35.  id;Тип забора;Select + Input (Профлист, Кирпич, Бетон, Сетка-рабица, Металл, Дерево,  Нет, Другое → появляется Input).;Частный дом, Имущественный комплекс, Некапитальный объект, Земельный участок;Продажа, Обмен;Россия
36.  id;Зелёные насаждения;Select (Есть, Нет, Частично);Частный дом, Земельный участок;Продажа, Обмен;Россия
37.  id;Инфраструктура;MultiSelect + Input (Школа, Детский сад, Поликлиника, Больница, Аптека, Магазин, Супермаркет, Рынок, Торговый центр, Кафе, Ресторан, Фитнес-клуб, Бассейн, Стадион, Спортивная площадка, Парк, Озеленённая зона, Остановка общественного транспорта, Станция метро, Вокзал, Парковка, Почта, Культурный центр, Церковь, Зоомагазин, Парикмахерская, Пункт выдачи заказов → при выборе появляются Inputs для расстояния в км);Все;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
38.  id;Парковка;MultiSelect (Наземная, Гараж, Навес, Отдельное здание);Квартира, Частный дом, Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект, Доля в праве;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
39.  id;Подъездные пути;Select (Без подъездных путей, Грунтовая, Асфальтированная, Комбинированная дорога);Все;Продажа, Обмен;Россия
40.  id;Тип окружения;Select + Input (Город, Посёлок, Село, Природная зона, Промзона, Другое → появляется Input);Все;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
41.  id;Удалённость от моря;Input (км);Квартира, Частный дом, Коммерческое помещение;Продажа, Аренда;Таиланд, Китай, Южная Корея
42.  id;Удалённость от центра;Input (км);Квартира, Частный дом, Коммерческое помещение;Продажа, Аренда;Россия, Таиланд, Китай, Южная Корея
43.  id;Пешеходный трафик;Select (Низкий, Средний, Высокий);Коммерческое помещение, Здание;Продажа, Обмен;Россия
44.  id;Автомобильный трафик;Select (Низкий, Средний, Высокий);Коммерческое помещение, Здание;Продажа, Обмен;Россия
45.  id;VR;Select (Есть, Нет);Квартира, Частный дом, Коммерческое помещение;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
46.  id;Кадастровый номер;Input (кнопка «Добавить» - появляется еще Input);Квартира, Частный дом, Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект, Доля в праве, Земельный участок;Продажа, Обмен;Россия
47.  id;Кадастровая стоимость;Input (кнопка «Добавить» - появляется еще Input);Квартира, Частный дом, Коммерческое помещение, Здание, Имущественный комплекс, Некапитальный объект, Доля в праве, Земельный участок;Продажа, Обмен;Россия
48.  id;Территориальная зона;Input (К примеру Ж1);Частный дом, Здание, Имущественный комплекс, Некапитальный объект, Земельный участок;Продажа, Обмен;Россия
49.  id;Вид права;Select + Input (Собственность, Аренда, Собственность + Аренда, Субаренда, Другое → появляется Input);Все;Продажа, Обмен;Россия
50.  id;Застройщик;Input (Название компании);Квартира;Продажа, Обмен;Россия
51.  id;ДДУ;Select (Да, Нет);Квартира;Продажа, Обмен;Россия
52.  id;Ипотека;MultiSelect + Input (Дальневосточная ипотека, Семейная ипотека, IT-ипотека, Военная ипотека, Стандартная ипотека, Другое → появляется Input);Квартира, Частный дом, Земельный участок;Продажа, Обмен;Россия
53.  id;Коммунальные платежи;MultiSelect + Input (Электричество, Вода, Горячая вода, Отопление, Газ, Вывоз мусора, Содержание ЖК, Интернет, Кап. Ремонт,  Другое → появляется Input) (При выборе Электричество, Вода, Горячая вода, Отопление, Газ, Вывоз мусора, Содержание ЖК, Интернет, Кап. Ремонт на против выбранной категории появляется Input для ввода стоимости);Все;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
54.  id;Налог;Input;Все;Продажа, Обмен;Россия, Таиланд, Китай, Южная Корея
55.  id;Цена за м²;Input;Все;Продажа, Обмен;Россия, Таиланд, Китай, Южная Корея
56.  id;Аренда за м²;Input;Квартира, Частный дом;Аренда;Россия, Таиланд, Китай, Южная Корея
57.  id;Субсидии;Input;Квартира, Частный дом;Продажа, Обмен;Россия
58.  id;Дополнительно оплачивается;Input (кнопка «Добавить» - появляется еще Input);Квартира, Частный дом, Коммерческое помещение;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
59.  id;Торг;Select (Без торга, Минимальный, Существенный);Все;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
60.  id;Комиссия агентства;Select + Input (Без комиссии, Другое → появляется Input);Все;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
61.  id;Количество собственников;Input;Доля в праве;Продажа, Обмен;Россия
62.  id;Обременения;Input (кнопка «Добавить» - появляется еще Input);Все;Продажа, Обмен;Россия
63.  id;Балкон;MultiSelect + Input (Балкон, Лоджия, Нет → при выборе Балкон или Лоджия появляется Input “Площадь м²”);Квартира;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
64.  id;Вид использования;MultiSelect + Input (ИЖС, Дачное, Производственное, Складское, Торговое, Офисное, Сельскохозяйственное, Логистическое, Рекреационное, Другое → появляется Input);Частный дом, Здание, Имущественный комплекс, Некапитальный объект, Земельный участок;Продажа, Обмен;Россия
65.  id;Окна;Select + Input (ПВХ, Деревянные, Алюминиевые, Другое → появляется Input);Квартира, Частный дом;Продажа, Обмен;Россия
66.  id;Вид дома;Select (Вторичное жильё, Новостройка);Квартира, Частный дом, Здание;Продажа, Обмен;Россия
67.  id;Охрана;Select (Есть, Нет);Все;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
68.  id;Наружное видеонаблюдение;Select (Есть, Нет);Квартира, Частный дом, Здание, Имущественный комплекс;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
69.  id;Консьерж;Select (Есть, Нет);Квартира;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
70.  id;Детская площадка;Select (Есть, Нет);Квартира;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
71.  id;Температура по сезонам;Input;Квартира, Частный дом;Аренда;Таиланд, Китай, Южная Корея
72.  id;Влажность воздуха;Input;Квартира, Частный дом;Аренда;Таиланд, Китай, Южная Корея
73.  id;Загрязнение воздуха;Input;Квартира, Частный дом;Аренда;Таиланд, Китай, Южная Корея
74.  id;Шумовой фон;Input;Квартира, Частный дом;Аренда;Таиланд, Китай, Южная Корея
75.  id;Координаты;Input;Все;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
76.  id;Форма участка;Select + Input (Правильная, Неправильная, Угловая, Другое → появляется Input).;Частный дом, Здание;Продажа, Обмен;Россия
77.  id;Рельеф участка;Select + Input (Ровный, С уклоном, Неровный, Другое → появляется Input).;Земельный участок;Продажа, Обмен;Россия
78.  id;Проводной интернет;Select (Есть, Нет);Все;Продажа, Аренда, Обмен;Россия, Таиланд, Китай, Южная Корея
79.  id;Количество зданий;Input;Имущественный комплекс;Продажа, Обмен;Россия
80.  id;Тип зданий в комплексе;MultiSelect + Input (Панельные, Кирпичные, Монолитные, Блочные, Деревянные, Комбинированные, Другое → появляется Input).;Имущественный комплекс;Продажа, Обмен;Россия
81.  id;Размер депозита;Select + Input  (В размере 1 месяца, В размере 2 месяцев, В размере 3 месяцев, Без депозита, Другое → появляется Input);Квартира, Частный дом, Коммерческое помещение;Аренда;Россия, Таиланд, Китай, Южная Корея
82.  id;Недоступные даты;;Квартира, Частный дом, Коммерческое помещение;Аренда;Россия, Таиланд, Китай, Южная Корея
83.  id;Аренда с питомцами;MultiSelect (Собаки, Кошки, Другие крупные животные, Другие мелкие животные);Квартира, Частный дом, Коммерческое помещение;Аренда;Россия, Таиланд, Китай, Южная Корея
84.  id;Срок Аренды;MultiSelect (До 1 месяца, 1-3 месяца, 3-6 месяцев, 6-12 месяцев, Более года);Квартира, Частный дом, Коммерческое помещение;Аренда;Россия, Таиланд, Китай, Южная Корея